Trial,Resp,LR,Outcome,RT
1,1,0,+17,10.652038935571909
1,2,0,+10,0.7751230914145708
1,1,0,-8,27.720713702961802
1,2,0,0,2.648496096022427
1,1,0,+17,0.938754890114069
1,1,0,+17,1.760076497681439
1,2,0,+10,3.4601452173665166
1,2,0,0,1.8696436388418078
1,2,0,0,1.992142166942358
1,1,0,+17,2.7361956471577287
1,1,0,-8,1.205158131197095
2,1,1,-6,1.6654713721945882
2,1,1,0,1.2195005360990763
2,1,1,-6,1.0530421677976847
2,1,1,0,1.4786440320312977
2,2,1,-2,1.3260745946317911
2,2,1,0,1.102287383750081
2,1,1,-6,2.270924771204591
2,2,1,-2,1.1598167223855853
2,2,1,-2,1.3210150133818388
2,2,1,-2,1.41310809366405
2,2,1,-2,1.1823616921901703
2,2,1,-2,0.728661778382957
3,1,0,+2,0.9450351912528276
3,2,0,+25,1.4303876999765635
3,1,0,+12,1.2870055576786399
3,2,0,+25,1.508213891647756
3,1,0,+12,1.1167105920612812
3,2,0,-4,5.317389104515314
3,1,0,+12,2.245499991811812
3,2,0,-4,0.9814596511423588
3,1,0,+12,1.396520970389247
3,2,0,-4,0.8441025661304593
3,1,0,+2,0.9947720170021057
4,1,0,+2,1.3003156576305628
4,1,0,+2,0.8032721150666475
4,2,0,+5,1.1518425941467285
4,2,0,+5,0.7730890642851591
4,1,0,+2,0.6430351454764605
4,2,0,+5,2.402232634834945
4,1,0,+8,1.6204286301508546
4,2,0,+5,1.4069973267614841
4,1,0,+2,1.3041163850575686
4,2,0,-2,2.147914999164641
4,1,0,+8,1.4626621715724468
4,2,0,+5,1.8067477457225323
4,1,0,+2,2.2323405481874943
4,1,0,+8,0.9920911937952042
5,1,1,-12,0.7765552550554276
5,1,1,0,0.3984081195667386
5,1,1,0,0.2642925651744008
5,1,1,0,0.6389991845935583
5,2,1,0,1.440293530933559
5,2,1,-7,0.06501789763569832
5,2,1,-7,0.07837141864001751
5,1,1,0,0.18306663539260626
5,2,1,0,0.1633520107716322
5,2,1,-7,1.1559434989467263
5,2,1,-7,1.5151066286489367
5,2,1,-7,0.877657413482666
5,2,1,0,0.6651704404503107
6,1,0,+10,0.9944710852578282
6,1,0,+4,0.44382957462221384
6,2,0,-2,0.7993626436218619
6,2,0,-2,0.3051011161878705
6,1,0,+4,0.9788131881505251
6,2,0,-2,0.7771929893642664
6,1,0,+10,0.7148721506819129
6,2,0,+10,1.822402998805046
6,1,0,+10,1.6438069203868508
6,2,0,+10,1.1203723698854446
6,1,0,+10,1.2556199114769697
6,2,0,-2,2.174627327360213
6,1,0,+4,1.2052797116339207
